eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval,status,error
b22f694e-4a34-4142-ab9d-2556c3487086,,,,,,,,,,,,,,,,,,,,failed,"OSError(122, 'Disk quota exceeded')"
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,0.04,0.09,0.05,0.01,0.0,0.065,972.0,266.0,215.0,193.0,0.3063479605262651,0.002218655403471498,0.011278195488721804,0.0037593984962406013,3.0,266.0,0.4573085382923415,,
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,0.05,0.1,0.05,0.01,1.0,0.07500000000000001,972.0,266.0,215.0,193.0,0.33185155335479216,0.00033734461500962027,0.011278195488721804,0.0037593984962406013,3.0,266.0,0.7678464307138573,,
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2.0,0.085,972.0,266.0,215.0,193.0,0.29691726946740593,0.012136384450533394,0.011278195488721804,0.0037593984962406013,3.0,266.0,0.07578484303139373,,
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,0.07,0.12000000000000001,0.05,0.01,3.0,0.095,972.0,266.0,215.0,193.0,0.31886477666282975,0.24650589000403705,0.011278195488721804,0.0037593984962406013,3.0,266.0,0.0001999600079984003,,
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,0.08000000000000002,0.13,0.05,0.01,4.0,0.10500000000000001,972.0,266.0,215.0,193.0,0.30551812424393743,0.23148616695852953,0.011278195488721804,0.0037593984962406013,3.0,266.0,0.0001999600079984003,,
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,0.09000000000000001,0.14,0.05,0.01,5.0,0.11500000000000002,972.0,266.0,215.0,193.0,0.2751308359540629,0.19124073851369303,0.011278195488721804,0.0037593984962406013,3.0,266.0,0.0001999600079984003,,
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,0.04,0.09,0.05,0.01,0.0,0.065,1111.0,40.0,251.0,234.0,0.09147479558833954,0.020059728954066658,0.075,0.025,3.0,40.0,0.4917016596680664,,
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,0.05,0.1,0.05,0.01,1.0,0.07500000000000001,1111.0,40.0,251.0,234.0,0.22196318073384386,0.03914633474170371,0.075,0.025,3.0,40.0,0.29374125174965005,,
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2.0,0.085,1111.0,40.0,251.0,234.0,0.29507693496420556,0.12822796593905858,0.075,0.025,3.0,40.0,0.0597880423915217,,
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,0.07,0.12000000000000001,0.05,0.01,3.0,0.095,1111.0,40.0,251.0,234.0,0.6812437022360128,0.31340118124695493,0.075,0.025,3.0,40.0,0.0027994401119776045,,
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,0.08000000000000002,0.13,0.05,0.01,4.0,0.10500000000000001,1111.0,40.0,251.0,234.0,0.6154820102602323,0.46717609104334334,0.075,0.025,3.0,40.0,0.0003999200159968006,,
