eid,pid,target_prefix,status,error,n_trials,n_left,n_right,n_zero,left_fraction,n_total_units
85dc2ebd-8aaf-46b0-9284-a197aee8b16f,df07180e-268e-489c-826e-40cb6f63d3a5,VISp,ok,,770,322,346,102,0.4820359281437126,333
a71175be-d1fd-47a3-aa93-b830ea3634a1,e10a7a75-4740-41d1-82bb-7696ed14c442,VISp,ok,,855,357,386,112,0.48048452220726784,45
37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,50f1512d-dd41-4a0c-b3ab-b0564f0424d7,VISp,ok,,630,299,263,68,0.5320284697508897,35
dda5fc59-f09a-4256-9fb5-66c67667a466,8169d556-f994-4735-b4c8-f7c85ddc39b0,VISp,ok,,751,338,320,93,0.513677811550152,208
7be8fec4-406b-4e74-8548-d2885dcc3d5e,44f5caad-c703-4279-866b-0303e57d2a7f,VISp,ok,,594,303,230,61,0.5684803001876173,188
03cf52f6-fba6-4743-a42e-dd1ac3072343,a3d13b05-bf4d-427a-a2d5-2fe050d603ec,VISp,ok,,415,154,212,49,0.4207650273224044,114
5b44c40f-80f4-44fb-abfb-c7f19e27a6ca,d6c810b2-5922-4127-af2b-4b104bc55c2b,VISp,ok,,587,252,260,75,0.4921875,86
41431f53-69fd-4e3b-80ce-ea62e03bf9c7,a9c9df46-85f3-46ad-848d-c6b8da4ae67c,VISp,ok,,570,239,262,69,0.47704590818363274,829
6274dda8-3a59-4aa1-95f8-a8a549c46a26,1bd85dab-7a53-49d1-acd4-e82f9fd07cf6,VISp,ok,,780,286,403,91,0.41509433962264153,300
90c61c38-b9fd-4cc3-9795-29160d2f8e55,43436b4b-0431-407f-b83d-d657ec22b5c6,VISp,ok,,804,390,326,88,0.5446927374301676,231
5d01d14e-aced-4465-8f8e-9a1c674f62ec,c84144db-4498-4627-b72a-975a6b618715,VISp,ok,,555,234,255,66,0.4785276073619632,175
